"gram2" "gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"592" "the" "onli" "thing" 5 10 10
"593" "the" "point" "where" 5 8 3
"594" "the" "problem" "is" 5 6 2
"595" "the" "releas" "of" 5 2 2
"596" "the" "risk" "of" 5 3 2
"597" "there" "is" "noth" 5 6 6
"598" "think" "we" "can" 5 2 5
"599" "this" "year" "and" 5 3 2
"600" "time" "to" "get" 5 4 10
"601" "to" "a" "new" 5 4 2
"602" "to" "becom" "a" 5 12 3
"603" "to" "deal" "with" 5 13 6
"604" "to" "do" "this" 5 21 4
"605" "to" "do" "what" 5 6 4
"606" "to" "each" "other" 5 3 4
"607" "to" "get" "back" 5 8 8
"608" "to" "get" "out" 5 12 6
"609" "to" "go" "out" 5 8 4
"610" "to" "hit" "the" 5 6 6
"611" "to" "keep" "it" 5 6 2
"612" "to" "look" "for" 5 3 2
"613" "to" "pick" "up" 5 12 5
"614" "to" "play" "the" 5 3 5
"615" "to" "put" "the" 5 4 4
"616" "to" "run" "the" 5 3 2
"617" "to" "use" "it" 5 5 3
"618" "to" "work" "on" 5 11 10
"619" "tri" "to" "do" 5 5 4
"620" "up" "for" "a" 5 3 8
"621" "want" "to" "know" 5 12 10
"622" "want" "to" "play" 5 4 3
"623" "was" "a" "good" 5 4 9
"624" "we" "have" "been" 5 12 2
"625" "we" "will" "have" 5 2 6
"626" "what" "kind" "of" 5 12 12
"627" "when" "they" "were" 5 7 2
"628" "will" "be" "avail" 5 2 2
"629" "will" "be" "in" 5 3 12
"630" "with" "all" "the" 5 8 6
"631" "work" "for" "the" 5 11 2
"632" "you" "can" "see" 5 16 5
"633" "a" "break" "from" 4 3 3
"634" "a" "good" "idea" 4 11 9
"635" "a" "great" "deal" 4 5 2
"636" "a" "long" "way" 4 3 3
"637" "a" "lot" "to" 4 4 7
"638" "a" "meet" "with" 4 2 2
"639" "a" "year" "to" 4 3 3
"640" "about" "half" "of" 4 4 2
"641" "across" "the" "street" 4 4 2
"642" "all" "of" "them" 4 9 4
"643" "all" "of" "this" 4 9 3
"644" "all" "of" "us" 4 9 11
"645" "all" "the" "other" 4 7 3
"646" "all" "the" "time" 4 18 25
"647" "allow" "you" "to" 4 10 2
"648" "and" "i" "know" 4 9 3
"649" "and" "most" "import" 4 3 2
"650" "and" "out" "of" 4 12 5
"651" "and" "the" "rest" 4 9 4
"652" "and" "they" "are" 4 8 7
"653" "and" "we" "are" 4 13 2
"654" "and" "you" "can" 4 9 4
"655" "as" "far" "as" 4 14 5
"656" "as" "good" "as" 4 5 7
"657" "back" "of" "the" 4 11 2
"658" "be" "a" "part" 4 4 7
"659" "be" "at" "the" 4 5 15
"660" "be" "one" "of" 4 7 6
"661" "be" "out" "of" 4 3 3
"662" "be" "sure" "to" 4 11 21
"663" "becaus" "it" "is" 4 12 2
